form.id,lex.id,lc.id,concepticon.id,subentry,aux,excl,orthographic,phonemic,gloss,ipa,def.ru,def.en,gender,notes,lang
1,1,1,,,,,гамза,gamza,R(ground),gamza,,,NPL,,itsari
2,1,1,,pl,aux,,гамзурби,gamz-urbi,R(ground)-PL,,,,,,itsari
3,1,1,,loc.ess,aux,,гамзалцциб,gamza-l-cːi-b,R(ground)-OBL-INTER-CL3[ESS],,,,,,itsari
4,1,1,,dat,aux,,гамзалий,gamza-li-j,R(ground)-OBL-DAT,,,,,,itsari
5,2,2,,,,,гӀянчча,ʡaˁnčːa,R(earth),ʡaˁnt͡ʃːa,,,NPL,,itsari
6,2,2,,loc.ess,aux,,гӀянччалцциб,ʡaˁnčːa-l-cːi-b,R(earth)-OBL-INTER-CL3[ESS],,,,,,itsari
7,2,2,,dat,aux,,гӀянччалий,ʡaˁnčːa-li-j,R(earth)-OBL-DAT,,,,,,itsari
8,3,3,,,,,хъвясса ,qʷaˁsːa,R(dust),q͡χʰʷaˁsːa,"пыль, зола","dust, ashes",NPL,,itsari
9,3,3,,loc.ess,aux,,хъвяссалцциб,qʷaˁsːa-l-cːi-b,R(dust)-OBL-INTER-CL3[ESS],,,,,,itsari
10,3,3,,dat,aux,,хъвяссалий,qʷaˁsːa-li-j,R(dust)-OBL-DAT,,,,,,itsari
11,4,4,,,,,хӀяшш,ħaˁšː,R(dirt),ħaˁʃː,,,,,itsari
12,4,4,,dat,aux,,хӀяшшлий,ħaˁš-li-j,R(dirt)-OBL-DAT,,,,,,itsari
13,5,5,,,,,къум,qːum,R(sand),qːum,,,,,itsari
14,6,6,,sg,,,дубура,dubura,R(mountain),dubura,,,,,itsari
15,6,6,,loc.ess,aux,,дубриб,dubri-b,R(mountain).LOC-CL3[ESS],dubrib,,,,,itsari
16,6,6,,pl,aux,,дубурти,dubur-ti,R(mountain)-PL,duburtʰi,,,,,itsari
17,6,6,,dat,aux,,дубуррий,dubur-ri-j,R(mountain)-OBL-DAT,,,,,,itsari
18,8,8,,,,,ссанала,sːana-la,R(sunny.slope)-NMLZ,sːanala,,,,Locative noun,itsari
19,8,8,,loc.ess,aux,,ссанаб,sːana-b,R(sunny.slope)-CL3[ESS],sːanab,,,,,itsari
20,8,8,,loc.lat,aux,,ссана,sːana,R(sunny.slope)[LAT],,,,,,itsari
21,8,8,,pl,aux,,ссинппи,sːin-pːi,R(sunny.slope)-PL,,,,,,itsari
22,9,9,,,,,хьхьянала,xːaˁna-la,R(shady.slope)-NMLZ,xːaˁnala,,,NSG,Locative noun,itsari
23,9,9,,loc.ess,aux,,хьхьянаб,xːaˁna-b,R(shady.slope)-CL3[ESS],xːaˁnab,,,,,itsari
24,9,9,,loc.lat,aux,,хьхьяна,xːaˁna,R(shady.slope)[LAT],,,,,,itsari
25,10,10,,sg,,,хъичӀа,qičʼa,R(cliff),q͡χʰit͡ʃʼa,,,,,itsari
26,10,10,,loc.ess,aux,,хъичӀайиб,qičʼa-ji-b,R(cliff)-LOC-CL3[ESS],q͡χʰit͡ʃʼajib,,,,,itsari
27,10,10,,loc.lat,aux,,хъичӀай,qičʼa-j,R(cliff)-LOC[LAT],,,,,,itsari
28,10,10,,pl,aux,,хъичӀми,qičʼ-mi,R(cliff)-PL,q͡χʰit͡ʃʼmi,,,,,itsari
29,10,10,,dat,aux,,хъичӀалий,qičʼa-li-j,R(cliff)-OBL-DAT,,,,,,itsari
30,11,11,,sg,,,диркьва,dirqʼʷa,R(plain),dirqʼʷa,,,,,itsari
31,11,11,,loc.ess,aux,,диркьваниб,dirqʼʷa-ni-b,R(plain)-LOC-CL3[ESS],dirqʼʷanib,,,,,itsari
32,11,11,,loc.lat,aux,,диркьван,dirqʼʷa-n,R(plain)-LOC[LAT],,,,,,itsari
33,12,12,,sg,,,къаттала,qːatːa-la,R(valley)-NMLZ,q͡χʰatːala,,,,Locative noun,itsari
34,12,12,,loc.ess,aux,,къаттаб,qːatːa-b,R(valley)-CL3[ESS],q͡χʰatːab,,,,,itsari
35,12,12,,pl,aux,,къаттурби,qːatː-urbi,R(valley)-PL,q͡χʰatːurbi,,,,,itsari
36,12,12,,loc.lat,aux,,къатта,qːatːa,R(valley)[LAT],,,,,,itsari
37,13,13,,sg,,,умхха,umχːa,R(cave),ʔumχːa,,,,,itsari
38,13,13,,loc.ess,aux,,?,,,,,,,,itsari
39,13,13,,pl,aux,,умххиппи,umχː-ipːi,R(cave)-PL,ʔumχːipːi,,,,,itsari
40,14,14,,sg,,,гьин,hin,R(water),hin,,,NPL,,itsari
41,14,14,,pl,aux,,гьинби,hin-bi,R(water)-PL,,,,,,itsari
42,15,15,,,,,урхьхьу ,urxːu,R(sea),ʔurxːu,,,NPL,,itsari
43,16,16,,pl,aux,,урхьни,urx-ni,R(sea)-PL,,,,,,itsari
44,16,16,,,,,хьвярхьвя,xʷaˁrxʷaˁ,R(foam),xʷaˁrxʷaˁ,пена на реке,foam on a river,NPL,,itsari
45,16,16,,pl,aux,,хьвярхьвин,xʷaˁrxʷ-in,R(foam)-PL,,,,,,itsari
46,17,17,,sg,,,шар,šar,R(lake),ʃar,,,,,itsari
47,17,17,,pl,aux,,ширми,šir-mi,R(lake)-PL,ʃirmi,,,,,itsari
48,18,18,,sg,,,аркӀв,arkʼʷ,R(river),ʔarkʼʷ,,,,,itsari
49,18,18,,pl,aux,,?,,,,,,,,itsari
50,19,19,,sg,,,гӀятӀа,ʡaˁtʼa,R(stream),ʡaˁtʼa,"маленькая струя, в т.ч. пота, воды с крыши и т.д.","small stream, including sweat, water from leaking roof etc.",,,itsari
51,19,19,,pl,aux,,гӀятӀиппи,ʡaˁtʼ-ipːi,R(stream)-PL,ʡaˁtʼipːi,,,,,itsari
52,20,20,,sg,,,кьулла ,qʼulla,R(spring),qʼulːa,,,,,itsari
53,20,20,,pl,aux,,кьуллиппни,qʼull-ipːni,R(spring)-PL,qʼulːipːni,,,,,itsari
54,21,21,,sg,,,кабурц,kaburc,R(swamp),kʰaburt͡sʰ,,,,,itsari
55,21,21,,pl,aux,,кабурци,kaburc-i,R(swamp)-PL,kʰaburt͡sʰi,,,,,itsari
56,22,22,,sg,,,вацӀа,wacʼa,R(forest),wat͡sʼa,,,,,itsari
57,22,22,,pl,aux,,вацӀурби,wacʼ-urbi,R(forest)-PL,wat͡sʼurbi,,,,,itsari
58,23,23,,sg,,,къаркъа,qːarqːa,R(stone),qːarqːa,,,,,itsari
59,23,23,,pl,aux,,къиркъин,qːirqː-in,R(stone)-PL,qːirqːin,,,,,itsari
60,24,24,,sg,,,ссема,sːema,R(pebble),sːema,,,NSG=NPL,,itsari
61,24,24,,pl,aux,,ссема,sːema,R(pebble),sːema,,,,,itsari
62,25,25,,,,,гъягъя,ʁaˁʁaˁ,R(gravel),ʁˁaˁʁˁaˁ,,,NPL,,itsari
